"id","variable","before_date","before_time","before_value","after_date","after_time","after_value","missing_date","imputed_time_str","imputed_value","imputation_method"
"AS14.02","screen",2014-04-19,"2014-04-19 07:18:52",155.77999997139,2014-04-22,"2014-04-22 17:53:30",10.1019999980927,2014-04-21,"2014-04-21 08:19:41",87.8109,"weighted_knn_incl_day1"
"AS14.03","appCat.finance",2014-03-26,"2014-03-26 16:42:40",15.063,2014-03-29,"2014-03-29 19:34:01",49.371,2014-03-27,"2014-03-27 16:43:40",29.0262,"weighted_knn_time_weighted"
"AS14.03","appCat.finance",2014-03-26,"2014-03-26 16:42:40",15.063,2014-03-29,"2014-03-29 19:34:01",49.371,2014-03-28,"2014-03-28 16:43:40",31.2648,"weighted_knn_incl_day1"
"AS14.03","appCat.finance",2014-03-29,"2014-03-29 19:34:01",49.371,2014-03-31,"2014-03-31 18:25:08",25.146,2014-03-30,"2014-03-30 19:35:05",48.0039,"weighted_knn_time_weighted"
"AS14.03","appCat.finance",2014-04-04,"2014-04-04 17:34:19",47.284,2014-04-07,"2014-04-07 22:30:51",4.087,2014-04-05,"2014-04-05 19:27:18",32.0734,"weighted_knn_time_weighted"
"AS14.03","appCat.finance",2014-04-04,"2014-04-04 17:34:19",47.284,2014-04-07,"2014-04-07 22:30:51",4.087,2014-04-06,"2014-04-06 19:28:18",31.8665,"weighted_knn_incl_day1"
"AS14.03","appCat.finance",2014-04-09,"2014-04-09 21:59:46",28.57,2014-04-11,"2014-04-11 14:11:51",17.149,2014-04-10,"2014-04-10 21:42:27",14.5805,"weighted_knn_time_weighted"
"AS14.03","appCat.finance",2014-04-11,"2014-04-11 14:11:51",17.149,2014-04-14,"2014-04-14 21:01:33",28.19,2014-04-12,"2014-04-12 16:20:45",16.7676,"weighted_knn_time_weighted"
"AS14.03","appCat.finance",2014-04-11,"2014-04-11 14:11:51",17.149,2014-04-14,"2014-04-14 21:01:33",28.19,2014-04-13,"2014-04-13 16:19:43",15.7592,"weighted_knn_incl_day1"
"AS14.03","appCat.finance",2014-04-14,"2014-04-14 21:01:33",28.19,2014-04-16,"2014-04-16 11:42:18",18.113,2014-04-15,"2014-04-15 21:02:33",27.205,"weighted_knn_time_weighted"
"AS14.03","appCat.finance",2014-04-21,"2014-04-21 12:26:44",23.194,2014-04-23,"2014-04-23 08:59:08",40.741,2014-04-22,"2014-04-22 13:26:46",34.9059,"weighted_knn_time_weighted"
